Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	sce03018:RNA degradation	15	4.62962962962963	1.1391435664986739E-5	P04147, Q12514, P53550, P31384, P39517, Q12517, P57743, P39998, P53905, P53829, P47017, P34909, P06102, P25655, P22147	142	64	2403	3.9662191901408446	9.109049178324113E-4	9.113148531989391E-4	8.543576748740055E-4
KEGG_PATHWAY	sce01230:Biosynthesis of amino acids	20	6.172839506172839	7.697149939037776E-5	P47176, P10659, P38999, P32263, P32582, P32288, P32895, P38689, P19358, P14540, P39533, P00815, P00549, P00912, P00899, P00812, P07264, P00942, P00950, P40545	142	125	2403	2.707605633802817	0.006139035589863617	0.00307885997561511	0.002886431227139166
KEGG_PATHWAY	sce03008:Ribosome biogenesis in eukaryotes	13	4.012345679012346	0.005389530922011809	P53742, P53145, Q12019, P53276, P53914, P40160, P29295, Q02892, Q08444, P42945, P40010, Q12055, P22147	142	90	2403	2.4443661971830988	0.351003884148252	0.14372082458698157	0.13473827305029523
KEGG_PATHWAY	sce00240:Pyrimidine metabolism	7	2.1604938271604937	0.007975191673221861	Q12178, P36010, P28274, P28272, P38627, P07259, P07258	142	31	2403	3.821217628350749	0.4730096750211218	0.15950383346443722	0.1495348438729099
KEGG_PATHWAY	sce00230:Purine metabolism	9	2.7777777777777777	0.01645013240466235	P15454, P53909, P08536, P16550, P36010, P38009, Q12055, P32895, P38689	142	57	2403	2.671979243884359	0.7347161934299694	0.2133249232967022	0.1999921155906583
KEGG_PATHWAY	sce01110:Biosynthesis of secondary metabolites	31	9.5679012345679	0.01748501181852464	P54115, P08536, P10659, P38009, P32582, P32263, P32861, P52910, P19358, P38689, P14540, P00549, P36010, P00942, P49017, Q00955, Q12055, P40545, P47176, P38999, P32895, P00815, P39533, P00912, P00899, P07283, P00812, P07264, P08432, P00950, P46655	142	351	2403	1.4945828819068254	0.7561432744894063	0.2133249232967022	0.1999921155906583
KEGG_PATHWAY	sce01240:Biosynthesis of cofactors	15	4.62962962962963	0.01890429618813349	P54115, P47176, P10659, P28274, P28272, P38627, P32861, P19358, P36010, P07283, P49017, Q12055, P46655, P07259, P07258	142	131	2403	1.9376948715191915	0.782774944728617	0.2133249232967022	0.1999921155906583
KEGG_PATHWAY	sce04213:Longevity regulating pathway - multiple species	7	2.1604938271604937	0.02133249232967022	P53686, P10591, P10592, P38873, P31539, P40150, P11792	142	38	2403	3.117309117865085	0.8218386157573985	0.2133249232967022	0.1999921155906583
KEGG_PATHWAY	sce00620:Pyruvate metabolism	8	2.4691358024691357	0.029933795956159283	P54115, P36013, P00549, Q00955, Q04432, P52910, Q08992, P39976	142	52	2403	2.603466955579632	0.912075488611077	0.26607818627697144	0.2494482996346607
KEGG_PATHWAY	sce00330:Arginine and proline metabolism	5	1.5432098765432098	0.04207180665390942	P54115, Q12178, P00812, P32263, P08432	142	23	2403	3.6788120024494795	0.9678902862608495	0.3365744532312754	0.3155385499043207
KEGG_PATHWAY	sce01100:Metabolic pathways	57	17.59259259259259	0.051464214794699814	P53686, P19097, P38009, P32263, P32582, Q08686, P52910, P32861, P38689, P39976, P15454, P00549, P16140, P00942, P49017, Q00955, P47912, P38999, P38715, Q04432, P32895, Q08992, P00815, P39533, P16550, P00899, P00812, P07283, P20485, P46655, P54115, P08536, P10659, P38627, P32288, P19358, P14540, P53909, P41277, P36010, P00127, Q12055, P40545, P07259, P07258, Q12178, P28274, P47176, P28272, P13188, P00958, P00912, P07262, P07264, P08432, P00950, P47169	142	794	2403	1.2148419484159365	0.9854018572732987	0.35680315226442755	0.3345029552479008
KEGG_PATHWAY	sce00920:Sulfur metabolism	4	1.2345679012345678	0.05352047283966413	P08536, P16550, P47169, Q08686	142	15	2403	4.512676056338028	0.9877284915420875	0.35680315226442755	0.3345029552479008
KEGG_PATHWAY	sce03015:mRNA surveillance pathway	7	2.1604938271604937	0.05881786875886845	P04147, P12385, P23594, P33309, Q99383, P05453, P30771	142	48	2403	2.467869718309859	0.9921676179262318	0.3619561154391905	0.33933385822424106
